drug	InChiKey	synonyms	drugclass
Cabazitaxel	QSKQVZWVLOIIEV-NSHDSACASA-N	XRP6258;CABAZITAXEL;JEVTANA;TXD258	chemo
Romidepsin	GYQYAJJFPNQOOW-UHFFFAOYSA-N	ISTODAX;FK228;ROMIDEPSIN;FR901228	targeted
Ixabepilone	DREIJXJRTLTGJC-JQCLMNFQSA-N	AZAEPOTHILONE B;BMS-247550;IXABEPILONE;IXEMPRA	chemo
Vinblastine	ASUGUQWIHMTFJL-QGZVFWFLSA-N	VINBLASTINE;VELBE	chemo
Dactinomycin	GLYMPHUVMRFTFV-QLFBSQMISA-N	ACTINOMYCIN D;DACTINOMYCIN;COSMEGEN	chemo
Raloxifene	WYQFJHHDOKWSHR-MNOVXSKESA-N	LY-139481;RALOXIFENE;EVISTA	targeted
Anastrozole	DUPWHXBITIZIKZ-UHFFFAOYSA-N	ZD1033;ANASTROZOLE;ARIMIDEX	targeted
Topotecan	IUVCFHHAEHNCFT-INIZCTEOSA-N	SKF-104864;TOPOTECAN;HYCAMTIN	chemo
Pentostatin	WDENQIQQYWYTPO-IBGZPJMESA-N	NIPENT;DEOXYCOFORMYCIN;PENTOSTATIN	chemo
Eribulin	HAYYBYPASCDWEQ-UHFFFAOYSA-N	HALAVEN;ER-086526;E7389;ERIBULIN	chemo
Mitomycin C	NWIBSHFKIJFRCO-JZQLQECVSA-N	MITOMYCIN C;MITOSOL;MITOMYCIN	chemo
Mercaptopurine	GLVAUDGFNGKCSF-UHFFFAOYSA-N	MERCAPTOPURINE;6-MERCAPTOPURINE;6-MP	chemo
Letrozole	HPJKCIUCZWXJDR-UHFFFAOYSA-N	LETROZOLE;FEMARA;CGS-20267	targeted
Cytarabine	UHDGCWIWMRVCDJ-CCXZUQQUSA-N	CYTOSAR;DEPOCYT;ARA-C;CYTARABINE	chemo
Mitotane	JWBOIMRXGHLCPP-CYBMUJFWSA-N	MITOTANE	chemo
Cladribine	PTOAARAWEBMLNO-SRQIZXRXSA-N	CLADRIBINE;LEUSTATIN	chemo
Gemcitabine	SDUQYLNIPVEERB-QPPQHZFASA-O	GEMCITABINE;GEMSAR;GEMZAR	chemo
Paclitaxel	RCINICONZNJXQF-MZXODVADSA-N	ABI-007;PACLITAXEL;TAXOL;ABRAXANE;PAXENE	chemo
Floxuridine	ODKNJVUHOIMIIZ-RRKCRQDMSA-N	FLOXURIDINE;FUDR;5-FLUORODEOXYURIDINE	chemo
Azacitidine	NMUSYJAQQFHJEW-KVTDHHQDSA-N	VIDAZA;5-AZACYTIDINE;5-AZAC;AZACITIDINE	targeted
Thalidomide	UEJJHQNACJXSKW-UHFFFAOYSA-N	THALOMID;THALIDOMIDE	targeted
Thioguanine	WYWHKKSPHMUBEB-UHFFFAOYSA-N	THIOGUANINE;6-THIOGUANINE;6-TG	chemo
Tretinoin	SHGAZHPCJJPHSC-YCNIQYBTSA-N	TRETINOIN;ALTINAC;ATRALIN;AVITA;REFISSA;RENOVA;RETIN-A;TRETIN-X;RETISOL-A;STIEVAA;VITINOIN;ATRA;RETINOIC ACID;VITAMIN A	targeted
Allopurinol	OFCNXPDARWKPPY-UHFFFAOYSA-N	ALLOPURINOL;ZYLOPRIM	chemo
Epirubicin	AOJJSUZBOXZQNB-VTZDEGQISA-N	IMI-28;ELLENCE;FARMORUBICIN;EPIRUBICIN	chemo
Vinflunine	NMDYYWFGPIMTKO-KLCPSUAYSA-N	VINFLUNINE;JAVLOR;F-12158;BMS-710485	chemo
Trifluridine	VSQQQLOSPVPRAZ-RRKCRQDMSA-N	VIROPTIC;LONSURF;TRIFLUOROTHYMIDINE;TRIFLURIDINE	chemo
Pirfenidone	ISWRGOKTTBVCFA-UHFFFAOYSA-N	PIRFENIDONE;ESBRIET;PIRESPA	targeted
Acitretin	IHUNBGSDBOWDMA-AQFIFDHZSA-N	SORIATANE;NEOTIGASON;ACITRETIN;RO 10-1670	targeted
Hydroxyurea	VSNHCAURESNICA-UHFFFAOYSA-N	MYELOSTAT;HYDREA;HYDROXYUREA	chemo
Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N	GOSERELIN;ZOLADEX;ICI-118630	targeted
Imiquimod	DOUYETYNHWVLEO-UHFFFAOYSA-N	IMIQUIMOD;ALDARA;VYLOMA;ZYCLARA	targeted
Clofarabine	WDDPHFBMKLOVOX-AYQXTPAHSA-N	CLOFARABINE;EVOLTRA;CLOLAR	chemo
Fluorouracil	GHASVSINZRGABV-UHFFFAOYSA-N	5-FLUOROURACIL;5-FU;ADRUCIL;FLUOROURACIL	chemo
Sonidegib	RWIVSVMMGFFZIJ-VWDRLOGHSA-N	LDE225;ERISMODEGIB (USAN);SONIDEGIB;ODOMZO;SONIDEGIB (INN);NVP-LDE225	targeted
Abiraterone	GZOSMCIZMLWJML-VJLLXTKPSA-N	ABIRATERONE;CB-7598;ZYTIGA	targeted
Digoxin	LTMHDMANZUZIPE-PUGKRICDSA-N	LANOXIN;DIGOXIN	targeted
Fingolimod	KKGQTZUTZRNORY-UHFFFAOYSA-N	FINGOLIMOD;GILENYA	targeted
Vismodegib	BPQMGSKTAYIVFO-UHFFFAOYSA-N	HHANTAG691;GDC-0449;VISMODEGIB;ERIVEDGE	targeted
Nilutamide	XWXYUMMDTVBTOU-UHFFFAOYSA-N	NILANDRON;ANANDRON;NILUTAMIDE	targeted
Toremifene	IWEQQRMGNVVKQW-OQKDUQJOSA-N	TOREMIFENE;FC 1157A;FARESTON;ACAPODENE	targeted
Finasteride	DBEPLOCGEIEOCV-WSBQPABSSA-N	PROPECIA;PROSCAR;MK-906;FINASTERIDE	targeted
Flutamide	MKXKFYHWDHIYRV-UHFFFAOYSA-N	FLUTAMIDE;EUFLEX;SCH 13521	targeted
Pilocarpine	QCHFTSOMWOSFHM-WPRPVWTQSA-N	PILOCARPINE;SALAGEN	targeted
Anagrelide	OTBXOEAOVRKTNQ-UHFFFAOYSA-N	AGRYLIN;XAGRID;ANAGRELIDE	targeted
Simvastatin	RYMZZMVNJRMUDD-HGQWONQESA-N	SIMVASTATIN;ZOCOR;MK-0733	targeted
Lasofoxifene	GXESHMAMLJKROZ-IAPPQJPRSA-N	OPORIA;LASOFOXIFENE	targeted
Methotrexate	FBOZXECLQNJBKD-ZDUSSCGKSA-N	MTX;METHOTREXATE	targeted
Lovastatin	PCZOHLXUXFIOCF-BXMDZJJMSA-N	LOVASTATIN;MK-803;ALTOPREV;MEVACOR;ALTOCOR	targeted
Itraconazole	VHVPQPYKVGDNFY-ZPGVKDDISA-N	ITRACONAZOLE;ONMEL;SPORANOX	targeted
Fulvestrant	VWUXBMIQPBEWFH-WCCTWKNTSA-N	"FASLODEX;ICI 182,780;FULVESTRANT"	targeted
Clomifene	GKIRPKYJQBWNGO-OCEACIFDSA-N	CLOMIFENE;CLOMID;SEROPHENE;MILOPHENE	targeted
Exemestane	BFYIZQONLCFLEV-DAELLWKTSA-N	EXEMESTANE;AROMASIN	targeted
Atorvastatin	XUKUURHRXDUEBC-KAYWLYCHSA-M	LIPITOR;ATORVASTATIN	targeted
Megestrol acetate	RQZAXGRLVPAYTJ-GQFGMJRRSA-N	MEGACE;MEGESTROL ACETATE	targeted
Tamoxifen	NKANXQFJJICGDU-QPLCGJKRSA-N	ICI-46474;TAMOXIFEN;TAMOFEN;TAMONE;TAMOPLEX;NOLVADEX	targeted
Celecoxib	RZEKVGVHFLEQIL-UHFFFAOYSA-N	CELEBREX;SC-58634;CELECOXIB	targeted
Salinomycin	KQXDHUJYNAXLNZ-XQSDOZFQSA-N	SALINOMYCIN	targeted
Enzalutamide	WXCXUHSOUPDCQV-UHFFFAOYSA-N	ENZALUTAMIDE;XTANDI;MDV3100	targeted
Apatinib	WPEWQEMJFLWMLV-UHFFFAOYSA-N	YN968D1;APATINIB	targeted
Idelalisib	IFSDAJWBUCMOAH-HNNXBMFYSA-N	ZYDELIG;CAL-101;IDELALISIB;GS-1101	targeted
Volasertib	SXNJFOWDRLKDSF-STROYTFGSA-N	BI 6727;VOLASERTIB	targeted
Imatinib	KTUFNOKKBVMGRW-UHFFFAOYSA-N	STI571;IMATINIB;GLEEVEC;GLIVEC	targeted
Afatinib	ULXXDDBFHOBEHA-CWDCEQMOSA-N	AFATINIB;GILOTRIF;GIOTRIF;BIBW2992	targeted
Trametinib	LIRYPHYGHXZJBZ-UHFFFAOYSA-N	GSK1120212;MEKINIST;TRAMETINIB;JTP-74057	targeted
Dasatinib	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	SPRYCEL;DASATINIB;BMS-354825	targeted
Sorafenib	MLDQJTXFUGDVEO-UHFFFAOYSA-N	NEVAXAR;BAY 43-9006;SORAFENIB	targeted
Ibrutinib	XYFPWWZEPKGCCK-GOSISDBHSA-N	IMBRUVICA;CRA-032765;PCI-32765;IBRUTINIB	targeted
Axitinib	RITAVMQDGBJQJZ-FMIVXFBMSA-N	INLYTA;AG013736;AXITINIB	targeted
Vandetanib	UHTHHESEBZOYNR-UHFFFAOYSA-N	CAPRELSA;ZD6474;VANDETANIB	targeted
Dabrafenib	BFSMGDJOXZAERB-UHFFFAOYSA-N	DABRAFENIB;TAFINLAR;GSK2118436B	targeted
Cobimetinib	BSMCAPRUBJMWDF-KRWDZBQOSA-N	COBIMETINIB;XL-518;COTELLIC;GDC-0973	targeted
Bosutinib	UBPYILGKFZZVDX-UHFFFAOYSA-N	BOSULIF;BOSUTINIB;SKI-606	targeted
Lenvatinib	WOSKHXYHFSIKNG-UHFFFAOYSA-N	LENVATINIB;LENVIMA;E7080	targeted
Alectinib	KDGFLJKFZUIJMX-UHFFFAOYSA-N	ALECTINIB;CH5424802;ALECENSA	targeted
Nilotinib	HHZIURLSWUIHRB-UHFFFAOYSA-N	TASIGNA;AMN-107;NILOTINIB	targeted
Gefitinib	XGALLCVXEZPNRQ-UHFFFAOYSA-N	GEFITINIB;ZD-1839;IRESSA	targeted
Crizotinib	KTEIFNKAUNYNJU-GFCCVEGCSA-N	XALKORI;PF-02341066;CRIZOTINIB	targeted
Osimertinib	DUYJMQONPNNFPI-UHFFFAOYSA-N	AZD9291;TAGRISSO;OSIMERTINIB	targeted
Nintedanib	XZXHXSATPCNXJR-ZIADKAODSA-N	VARGATEF;OFEV;NINTEDANIB;INDETANIB;BIBF 1120	targeted
Ripasudil	QSKQVZWVLOIIEV-NSHDSACASA-N	K-115;RIPASUDIL	targeted
Pazopanib	CUIHSIWYWATEQL-UHFFFAOYSA-N	PAZOPANIB;VOTRIENT;GW786034	targeted
Ceritinib	VERWOWGGCGHDQE-UHFFFAOYSA-N	ZYKADIA;NVP-LDK378;CERITINIB;LDK378	targeted
Vemurafenib	GPXBXXGIAQBQNI-UHFFFAOYSA-N	ZELBORAF;PLX4032;VEMURAFENIB;RG7204;RO5185426	targeted
Hydroxyfasudil	ZAVGJDAFCZAWSZ-UHFFFAOYSA-N	HYDROXYFASUDIL;HA-1100	targeted
Erlotinib	AAKJLRGGTJKAMG-UHFFFAOYSA-N	ERLOTINIB;TARCEVA;CP-358774;OSI-774	targeted
Regorafenib	FNHKPVJBJVTLMP-UHFFFAOYSA-N	STIVARGA;BAY73-4506;REGORAFENIB	targeted
Lapatinib	BCFGMOOMADDAQU-UHFFFAOYSA-N	TYKERB;TYVERB;GW2016;GW572016;LAPATINIB	targeted
Tivozanib	SPMVMDHWKHCIDT-UHFFFAOYSA-N	TIVOZANIB;KRN951;AV-951	targeted
Dovitinib	PIQCTGMSNWUMAF-UHFFFAOYSA-N	TKI258;DOVITINIB;CHIR-258	targeted
Selumetinib	CYOHGALHFOKKQC-UHFFFAOYSA-N	AZD6244;SELUMETINIB;ARRY-142886	targeted
Saracatinib	OUKYUETWWIPKQR-UHFFFAOYSA-N	SARACATINIB;AZD-0530	targeted
Vatalanib	YCOYDOIWSSHVCK-UHFFFAOYSA-N	CGP-79787;PTK 787;ZK222584;VATALANIB	targeted
Cediranib	XXJWYDDUDKYVKI-UHFFFAOYSA-N	AZD2171;RECENTIN;CEDIRANIB	targeted
AZD1152-HQPA	QYZOGCMHVIGURT-UHFFFAOYSA-N	AZD1152-HQPA;BARASERTIB	targeted
Enzastaurin	AXRCEOKUDYDWLF-UHFFFAOYSA-N	LY317615;ENZASTAURIN	targeted
Ruboxistaurin	ZCBUQCWBWNUWSU-UHFFFAOYSA-N	RUBOXISTAURIN;LY333531	targeted
Midostaurin	BMGQWWVMWDBQGC-IIFHNQTCSA-N	PKC412;CGP 41251;RYDAPT;NVP-PKC412;MIDOSTAURIN	targeted
Alisertib	ZLHFILGSQDJULK-UHFFFAOYSA-N	MLN8237;ALISERTIB	targeted
Masitinib	WJEOLQLKVOPQFV-UHFFFAOYSA-N	MASITINIB;AB1010	targeted
Ruxolitinib	HFNKQEVNSGCOJV-HNNXBMFYSA-N	JAKAFI;JAKAVI;RUXOLITINIB;INCB018424	targeted
Tofacitinib	UJLAWZDWDVHWOW-YPMHNXCESA-N	XELJANZ;JAKVINUS;TASOCITINIB;TOFACITINIB;CP-690550	targeted
Ponatinib	PHXJVRSECIGDHY-UHFFFAOYSA-N	PONATINIB;ICLUSIG;AP24534	targeted
Cabozantinib	ONIQOQHATWINJY-UHFFFAOYSA-N	COMETRIQ;XL184;BMS-907351;CABOZANTINIB	targeted
Sunitinib	WINHZLLDWRZWRT-ATVHPVEESA-N	SUTENT;SUNITINIB;SU-11248	targeted
Belinostat	NCNRHFGMJRPRSK-MDZDMXLPSA-N	BELEODAQ;BELINOSTAT;PX105684;PXD101	targeted
Panobinostat	FPOHNWQLNRZRFC-ZHACJKMWSA-N	PANOBINOSTAT;LBH589;FARYDAK;FARIDAK	targeted
Venetoclax	LQBVNQSMGBZMKD-UHFFFAOYSA-N	ABT-199;VENCLEXTA;GDC-0199;VENETOCLAX	targeted
Canertinib	OMZCMEYTWSXEPZ-UHFFFAOYSA-N	CANERTINIB;PD 183805;CI-1033	targeted
Omacetaxine	HYFHYPWGAURHIV-JFIAXGOJSA-N	HOMOHARRINGTONINE;SYNRIBO;OMACETAXINE	chemo
Momelotinib	ZVHNDZWQTBEVRY-UHFFFAOYSA-N	CYT-387;MOMELOTINIB;CYT1138	targeted
AZD7762	IAYGCINLNONXHY-LBPRGKRZSA-N	AZD7762	targeted
Foretinib	CXQHYVUVSFXTMY-UHFFFAOYSA-N	XL880;EXEL-2880;FORETINIB;GSK1363089	targeted
AZD1480	PDOQBOJDRPLBQU-UHFFFAOYSA-N	AZD1480	targeted
Doxorubicin	AOJJSUZBOXZQNB-TZSSRYMLSA-N	ADRIAMYCIN;DOXORUBICIN	chemo
Docetaxel	ZDZOTLJHXYCWBA-JXHJHTFNSA-N	DOCETAXEL;TAXOTERE;DOCECAD;RP 56976	chemo
Quisinostat	PAWIYAYFNXQGAP-UHFFFAOYSA-N	QUISINOSTAT;JNJ-26481585	targeted
Idarubicin	XDXDZDZNSLXDNA-TZNDIEGXSA-N	ZAVEDOS;IDAMYCIN;IDARUBICIN	chemo
AZ 3146	YUKWVHPTFRQHMF-UHFFFAOYSA-N	AZ 3146	targeted
UNC0642	RNAMYOYQYRYFQY-UHFFFAOYSA-N	UNC0642	targeted
Pictilisib	LHNIIDJUOCFXAP-UHFFFAOYSA-N	RG-7321;GDC-0941;PICTILISIB	targeted
Quizartinib	CVWXJKQAOSCOAB-UHFFFAOYSA-N	QUIZARTINIB;AC220	targeted
Daunorubicin	STQGQHZAVUOBTE-VGBVRHCVSA-N	DAUNORUBICIN;CERUBIDINE	chemo
Valrubicin	ZOCKGBMQLCSHFP-KQRAQHLDSA-N	VALRUBICIN;VALSTAR;AD-32	chemo
Fludarabine	HBUBKKRHXORPQB-FJFJXFQQSA-N	FLUDARA;FLUDARABINE	chemo
Teniposide	NRUKOCRGYNPUPR-PSZSYXFXSA-N	TENIPOSIDE;VM-26;VUMON	chemo
Mitoxantrone	KKZJGLLVHKMTCM-UHFFFAOYSA-N	MITOXANTRONE;NOVANTRONE	chemo
Etoposide	VJJPUSNTGOMMGY-MRVIYFEKSA-N	VEPESID;ETOPOSIDE	chemo
Navitoclax	JLYAXFNOILIKPP-KXQOOQHDSA-N	ABT-263;NAVITOCLAX	targeted
Chloroquine	QKICWELGRMTQCR-UHFFFAOYSA-N	CHLOROQUINE;ARALEN	chemo
Pemetrexed	WBXPDJSOTKVWSJ-CYBMUJFWSA-N	PEMETREXED;ALIMTA	targeted
Valproic acid	AEQFSUDEHCCHBT-UHFFFAOYSA-M	DEPACON;DEPAKENE;DEPAKOTE;STAVZOR;VALPROIC ACID	targeted
Arsenic(III) oxide	GOLCXWYRSKYTSP-UHFFFAOYSA-N	TRISENOX;ARSENIC(III) OXIDE	targeted
Deferoxamine	UBQYURCVBFRUQT-UHFFFAOYSA-N	DEFEROXAMINE;DESFERRIOXAMINE;DFOM;DESFERAL;DESFERIN	targeted
Plerixafor	YIQPUIGJQJDJOS-UHFFFAOYSA-N	MOZOBIL;PLERIXAFOR;SID 791;JM 3100;AMD 3100	targeted
Mepacrine	GPKJTRJOBQGKQK-UHFFFAOYSA-N	QUINACRINE (USAN);ACHRICRINE;MEPACRINE;ATABRINE	targeted
Pravastatin	TUZYXOIXSAXUGO-PZAWKZKUSA-M	SQ-31000;EPTASTATIN;CS-514;PRAVASTATIN;PRAVACHOL	targeted
Metformin	XZWYZXLIPXDOLR-UHFFFAOYSA-N	FORTAMET;GLUCOPHAGE;GLUMETZA;RIOMET;METFORMIN	targeted
Carboplatin	CCQPAEQGAVNNIA-UHFFFAOYSA-N	PARAPLATIN;CARBOPLATIN	chemo
Cisplatin	DLBNRDWREIUHLD-UHFFFAOYSA-L	CISPLATIN;PLATINOL	chemo
Oxaliplatin	ZROHGHOFXNOHSO-BNTLRKBRSA-L	OXALIPLATIN;ELOXATIN	chemo
1-methyl-D-tryptophan	ZADWXFSZEAPBJS-SNVBAGLBSA-N	1-METHYL-D-TRYPTOPHAN	targeted
Perifosine	SZFPYBIJACMNJV-UHFFFAOYSA-N	PERIFOSINE	targeted
BMS863233	UNDKJUKLBNARIZ-FVGYRXGTSA-N	BMS863233;XL-413	targeted
Pixantrone	PEZPMAYDXJQYRV-UHFFFAOYSA-N	BBR 2778;PIXANTRONE	chemo
Fostamatinib	GKDRMWXFWHEQQT-UHFFFAOYSA-L	R935788;FOSTAMATINIB	targeted
Miltefosine	PQLXHQMOHUQAKB-UHFFFAOYSA-N	MILTEFOSINE;HDPC;D-18506;IMPAVIDO;MILTEX	targeted
Palbociclib	AHJRHEGDXFFMBM-UHFFFAOYSA-N	PALBOCICLIB;PD-0332991;IBRANCE	targeted
Linifanib	MPVGZUGXCQEXTM-UHFFFAOYSA-N	LINIFANIB;AL-39324;RG3635;ABT-869	targeted
Brivanib	WCWUXEGQKLTGDX-LLVKDONJSA-N	BRIVANIB;BMS-540215;BMS-582664	targeted
Dacomitinib	BSPLGGCPNTZPIH-IPZCTEOASA-N	PF-00299804;DACOMITINIB	targeted
Dinaciclib	PIMQWRZWLQKKBJ-SFHVURJKSA-N	SCH727965;DINACICLIB	targeted
Duvelisib	SJVQHLPISAIATJ-ZDUSSCGKSA-N	INK1197;IPI-145;DUVELISIB	targeted
Ribociclib	RHXHGRAEPCAFML-UHFFFAOYSA-N	RIBOCICLIB;NVP-LEE011;LEE011;KISQALI	targeted
Pacritinib	HWXVIOGONBBTBY-ONEGZZNKSA-N	PACRITINIB;SB1518	targeted
Neratinib	JWNPDZNEKVCWMY-VQHVLOKHSA-N	NERATINIB;NERLYNX;HKI-272	targeted
Pexidartinib	JGWRKYUXBBNENE-UHFFFAOYSA-N	PLX-3397;PEXIDARTINIB	targeted
Losmapimod	KKYABQBFGDZVNQ-UHFFFAOYSA-N	GW856553X;LOSMAPIMOD	targeted
Rociletinib	HUFOZJXAKZVRNJ-UHFFFAOYSA-N	AVL-301;CNX-419;ROCILETINIB;CO-1686	targeted
Taselisib	BEUQXVWXFDOSAQ-UHFFFAOYSA-N	RG7604;TASELISIB;GCD-0032	targeted
Gilteritinib	GYQYAJJFPNQOOW-UHFFFAOYSA-N	ASP2215;GILTERITINIB	targeted
Peficitinb	DREIJXJRTLTGJC-JQCLMNFQSA-N	JNJ-54781532;PEFICITINB;ASP015K	targeted
Decernotinib	ASUGUQWIHMTFJL-QGZVFWFLSA-N	DECERNOTINIB;VX-509;VRT-831509;ADELATINIB	targeted
Abemaciclib	UZWDCWONPYILKI-UHFFFAOYSA-N	LY2835219;ABEMACICLIB	targeted
Ensartinib	GLYMPHUVMRFTFV-QLFBSQMISA-N	X-396;ENSARTINIB	targeted
Upadacitinib	WYQFJHHDOKWSHR-MNOVXSKESA-N	ABT-494;UPADACITINIB	targeted
Radotinib	DUPWHXBITIZIKZ-UHFFFAOYSA-N	RADOTINIB;IY5511	targeted
TGR-1202	IUVCFHHAEHNCFT-INIZCTEOSA-N	RP5264;TGR-1202	targeted
Acalabrutinib	WDENQIQQYWYTPO-IBGZPJMESA-N	ACP-196;ACALABRUTINIB	targeted
Brigatinib	AILRADAXUVEEIR-UHFFFAOYSA-N	BRIGATINIB;ALUNBRIG;AP26113	targeted
Linsitinib	PKCDDUHJAFVJJB-VLZXCDOPSA-N	LINSITINIB;OSI-906;ASP7487	targeted
Danusertib	XKFTZKGMDDZMJI-HSZRJFAPSA-N	DANUSERTIB;PHA-739358	targeted
SNS-032	OUSFTKFNBAZUKL-UHFFFAOYSA-N	BMS-387032;SNS-032	targeted
Seliciclib	BTIHMVBBUGXLCJ-OAHLLOKOSA-N	ROSCOVITINE;SELICICLIB;CYC202	targeted
Dactolisib	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	NVP-BEZ235;DACTOLISIB	targeted
Gandotinib	SQSZANZGUXWJEA-UHFFFAOYSA-N	GANDOTINIB;LY2784544	targeted
Sonolisib	QIUASFSNWYMDFS-NILGECQDSA-N	PX-866;DJM-166;SONOLISIB	targeted
Crenolanib	DYNHJHQFHQTFTP-UHFFFAOYSA-N	CRENOLANIB;CP-868596	targeted
Vistusertib	JUSFANSTBFGBAF-IRXDYDNUSA-N	AZD2014;VISTUSERTIB	targeted
Ipatasertib	GRZXWCHAXNAUHY-NSISKUIASA-N	RG7440;GDC-0068;IPATASERTIB	targeted
AZD-5363	JDUBGYFRJFOXQC-KRWDZBQOSA-N	AZD-5363	targeted
Fedratinib	JOOXLOJCABQBSG-UHFFFAOYSA-N	TG-101348;SAR302503;FEDRATINIB	targeted
Amuvatinib	FOFDIMHVKGYHRU-UHFFFAOYSA-N	AMUVATINIB;MP-470	targeted
Icotinib	QQLKULDARVNMAL-UHFFFAOYSA-N	ICOTINIB;BPI-2009H	targeted
Milciclib	RXZMYLDMFYNEIM-UHFFFAOYSA-N	MILCICLIB;PHA-848125	targeted
Tideglusib	PMJIHLSCWIDGMD-UHFFFAOYSA-N	NP031112;TIDEGLUSIB	targeted
MK-2206	HWUHTJIKQZZBRA-UHFFFAOYSA-N	MK-2206	targeted
BI 2536	XQVVPGYIWAGRNI-JOCHJYFZSA-N	BI 2536	targeted
Tandutinib	UXXQOJXBIDBUAC-UHFFFAOYSA-N	MLN518;CT53518;TANDUTINIB	targeted
Tivantinib	UCEQXRCJXIVODC-PMACEKPBSA-N	TIVANTINIB;ARQ-197	targeted
Binimetinib	ACWZRVQXLIRSDF-UHFFFAOYSA-N	MEK162;ARRY-438162;ARRY-162;NVP-MEK162;BINIMETINIB	targeted
AZD4547	VRQMAABPASPXMW-HDICACEKSA-N	AZD4547	targeted
Galunisertib	IVRXNBXKWIJUQB-UHFFFAOYSA-N	LY2157299;GALUNISERTIB	targeted
